id,info,rname,sname,star
27481294,赫拉克勒斯,F*****,ios服,SR
27481295,阿周那,Z*****,安卓bili服,SSR
27481296,玛丽·安托瓦内特,B*****,ios服,SR
27481297,俄里翁,t*****,安卓bili服,SSR
27481298,卡米拉,b*****,ios服,SR
27481299,源赖光,b*****,安卓bili服,SSR
27481300,玛丽·安托瓦内特,8*****,ios服,SR
27481301,齐格飞,5*****,ios服,SR
27481302,卫宫,F*****,安卓bili服,SR
27481303,伊丽莎白·巴托里,R*****,ios服,SR
27481304,卡米拉,R*****,ios服,SR
27481305,茨木童子,一*****,安卓bili服,SR
27481306,赫拉克勒斯,I*****,安卓bili服,SR
27481307,诸葛孔明〔埃尔梅罗Ⅱ世〕,司*****,安卓bili服,SSR
27481308,贞德,a*****,ios服,SSR
27481309,玛尔达,M*****,ios服,SR
27481310,玉藻猫,f*****,ios服,SR
27481311,伊丽莎白·巴托里,d*****,ios服,SR
27481312,玉藻前,终*****,安卓bili服,SSR
27481313,卡米拉,S*****,ios服,SR
27481314,卫宫,S*****,ios服,SR
27481315,斯忒诺,1*****,ios服,SR
27481316,卫宫,t*****,ios服,SR
27481317,茨木童子,M*****,ios服,SR
27481318,阿斯托尔福,b*****,安卓bili服,SR
27481319,玉藻猫,留*****,安卓bili服,SR
27481320,赫拉克勒斯,P*****,ios服,SR
27481321,卫宫,1*****,ios服,SR
27481322,骑士迪昂,1*****,ios服,SR
27481323,齐格飞,W*****,ios服,SR
27481324,卫宫,W*****,ios服,SR
27481325,玉藻前,1*****,安卓bili服,SSR
27481326,伊丽莎白·巴托里,7*****,ios服,SR
27481327,齐格飞,7*****,ios服,SR
27481328,斯忒诺,9*****,ios服,SR
27481329,茨木童子,h*****,ios服,SR
27481330,童谣,麦*****,ios服,SR
27481331,玉藻猫,M*****,安卓bili服,SR
27481332,海伦娜·布拉瓦茨基,h*****,安卓bili服,SR
27481333,源赖光,h*****,安卓bili服,SSR
27481334,茨木童子,v*****,ios服,SR
27481335,骑士迪昂,3*****,ios服,SR
27481336,玛丽·安托瓦内特,3*****,ios服,SR
27481337,齐格飞,3*****,ios服,SR
27481338,源赖光,o*****,安卓bili服,SSR
27481339,齐格飞,L*****,ios服,SR
27481340,玉藻猫,c*****,ios服,SR
27481341,齐格飞,c*****,ios服,SR
27481342,贝奥武夫,贤*****,安卓bili服,SR
27481343,赫拉克勒斯,屹*****,安卓bili服,SR
27481344,海伦娜·布拉瓦茨基,6*****,ios服,SR
27481345,弗朗西斯·德雷克,灰*****,安卓bili服,SSR
27481346,卡米拉,d*****,ios服,SR
27481347,兰斯洛特,于*****,安卓bili服,SR
27481348,托马斯·爱迪生,科*****,ios服,SR
27481349,源赖光,深*****,安卓bili服,SSR
27481350,卡米拉,6*****,ios服,SR
27481351,玛尔达,F*****,ios服,SR
27481352,玉藻猫,F*****,ios服,SR
27481353,库·丘林[Alter],j*****,ios服,SSR
27481354,莫德雷德,入*****,ios服,SSR
27481355,玛尔达,C*****,ios服,SR
27481356,伊丽莎白·巴托里,C*****,ios服,SR
27481357,开膛手杰克,虎*****,安卓联运服,SSR
27481358,卡米拉,1*****,安卓bili服,SR
27481359,茨木童子,i*****,安卓bili服,SR
27481360,茨木童子,资*****,ios服,SR
27481361,源赖光,丶*****,安卓bili服,SSR
27481362,卡米拉,p*****,ios服,SR
27481363,赫拉克勒斯,慕*****,安卓bili服,SR
27481364,茨木童子,天*****,安卓bili服,SR
27481365,齐格飞,o*****,ios服,SR
27481366,伊丽莎白·巴托里,o*****,ios服,SR
27481367,源赖光,㉅*****,ios服,SSR
27481368,玛丽·安托瓦内特,X*****,安卓bili服,SR
27481369,尼古拉·特斯拉,e*****,安卓bili服,SSR
27481370,赫拉克勒斯,O*****,ios服,SR
27481371,伊丽莎白·巴托里,O*****,ios服,SR
27481372,骑士迪昂,O*****,ios服,SR
27481373,弗兰肯斯坦,a*****,ios服,SR
27481374,阿塔兰忒,师*****,ios服,SR
27481375,莫德雷德,9*****,ios服,SSR
27481376,阿周那,辽*****,安卓联运服,SSR
27481377,齐格飞,5*****,安卓bili服,SR
27481378,玉藻猫,1*****,安卓bili服,SR
27481379,赫拉克勒斯,3*****,安卓bili服,SR
27481380,罗摩,u*****,安卓bili服,SR
27481381,卫宫,3*****,ios服,SR
27481382,骑士迪昂,v*****,ios服,SR
27481383,赫拉克勒斯,x*****,ios服,SR
27481384,骑士迪昂,k*****,ios服,SR
27481385,斯忒诺,i*****,ios服,SR
27481386,源赖光,大*****,ios服,SSR
27481387,斯忒诺,o*****,ios服,SR
27481388,玛尔达,n*****,ios服,SR
27481389,齐格飞,n*****,ios服,SR
27481390,伊丽莎白·巴托里,i*****,ios服,SR
27481391,玛丽·安托瓦内特,马*****,安卓bili服,SR
27481392,玛丽·安托瓦内特,4*****,ios服,SR
27481393,玛丽·安托瓦内特,o*****,ios服,SR
