id,info,rname,sname,star
29897588,玛丽·安托瓦内特,退*****,安卓bili服,SR
29897589,斯忒诺,退*****,安卓bili服,SR
29897590,罗摩,非*****,安卓bili服,SR
29897591,罗摩,束*****,安卓bili服,SR
29897592,阿斯托尔福,o*****,安卓bili服,SR
29897593,骑士迪昂,唐*****,安卓bili服,SR
29897594,俄里翁,剑*****,ios服,SSR
29897595,海伦娜·布拉瓦茨基,震*****,ios服,SR
29897596,俄里翁,両*****,ios服,SSR
29897597,阿尔托莉雅·潘德拉贡,v*****,安卓bili服,SSR
29897598,阿塔兰忒,r*****,安卓bili服,SR
29897599,弗兰肯斯坦,W*****,安卓bili服,SR
29897600,玉藻猫,W*****,ios服,SR
29897601,斯忒诺,8*****,安卓bili服,SR
29897602,阿斯托尔福,卓*****,安卓bili服,SR
29897603,阿尔托莉雅·潘德拉贡〔Alter〕,地*****,安卓bili服,SR
29897604,贞德,a*****,ios服,SSR
29897605,卡米拉,C*****,安卓bili服,SR
29897606,赫拉克勒斯,9*****,ios服,SR
29897607,罗摩,冠*****,ios服,SR
29897608,阿尔托莉雅·潘德拉贡〔Alter〕,m*****,安卓bili服,SR
29897609,俄里翁,羿*****,安卓bili服,SSR
29897610,兰斯洛特,羿*****,安卓bili服,SR
29897611,骑士迪昂,7*****,ios服,SR
29897612,弗朗西斯·德雷克,毛*****,安卓bili服,SSR
29897613,伊丽莎白·巴托里,空*****,安卓bili服,SR
29897614,玛丽·安托瓦内特,u*****,ios服,SR
29897615,安妮·伯妮＆玛莉·瑞德,贫*****,安卓bili服,SR
29897616,斯忒诺,N*****,安卓bili服,SR
29897617,卡米拉,夜*****,安卓bili服,SR
29897618,玉藻猫,p*****,ios服,SR
