id,info,rname,sname,star
8123770,卫宫,亲*****,安卓bili服,SR
8123771,卫宫,j*****,安卓bili服,SR
8123772,兰斯洛特,卑*****,安卓bili服,SR
8123773,骑士迪昂,许*****,安卓bili服,SR
8123774,齐格飞,回*****,安卓bili服,SR
8123775,玛丽·安托瓦内特,r*****,ios服,SR
8123776,齐格飞,暮*****,安卓bili服,SR
8123777,卫宫,采*****,安卓bili服,SR
8123778,玛尔达,小*****,安卓bili服,SR
8123779,卫宫〔Assassin〕,远*****,ios服,SR
8123780,阿斯托尔福,静*****,ios服,SR
8123781,玛丽·安托瓦内特,d*****,安卓bili服,SR
8123782,伊丽莎白·巴托里,4*****,安卓bili服,SR
8123783,伊丽莎白·巴托里,4*****,安卓bili服,SR
8123784,海伦娜·布拉瓦茨基,9*****,安卓bili服,SR
8123785,玛丽·安托瓦内特,k*****,安卓bili服,SR
8123786,卫宫,p*****,安卓bili服,SR
8123787,玉藻猫,a*****,安卓bili服,SR
8123788,坂田金时,出*****,ios服,SSR
8123789,齐格飞,王*****,ios服,SR
8123790,坂田金时,z*****,ios服,SSR
8123791,伊丽莎白·巴托里,x*****,安卓bili服,SR
8123792,坂田金时,鎤*****,安卓bili服,SSR
8123793,海伦娜·布拉瓦茨基,2*****,安卓bili服,SR
8123794,贝奥武夫,孟*****,安卓bili服,SR
8123795,骑士迪昂,鞠*****,ios服,SR
8123796,玛丽·安托瓦内特,b*****,安卓bili服,SR
8123797,兰斯洛特,9*****,安卓bili服,SR
8123798,安妮·伯妮＆玛莉·瑞德,x*****,安卓bili服,SR
8123799,坂田金时,u*****,安卓bili服,SSR
8123800,玉藻猫,s*****,安卓bili服,SR
