id,info,rname,sname,star
12324475,玛丽·安托瓦内特,s*****,安卓bili服,SR
12324476,卫宫,s*****,安卓bili服,SR
12324477,赫拉克勒斯,1*****,安卓bili服,SR
12324478,卫宫〔Assassin〕,樱*****,安卓bili服,SR
12324479,赫拉克勒斯,x*****,安卓bili服,SR
12324480,南丁格尔,k*****,安卓bili服,SSR
12324481,开膛手杰克,l*****,ios服,SSR
12324482,赫拉克勒斯,n*****,安卓bili服,SR
12324483,阿蒂拉,邹*****,安卓bili服,SSR
12324484,酒吞童子,o*****,ios服,SSR
12324485,弗朗西斯·德雷克,a*****,ios服,SSR
12324486,兰斯洛特,e*****,安卓bili服,SR
12324487,齐格飞,e*****,安卓bili服,SR
12324488,赫拉克勒斯,五*****,安卓bili服,SR
12324489,俄里翁,p*****,安卓bili服,SSR
12324490,海伦娜·布拉瓦茨基,冷*****,安卓bili服,SR
12324491,酒吞童子,大*****,安卓bili服,SSR
12324492,伊丽莎白·巴托里,敖*****,ios服,SR
12324493,酒吞童子,汲*****,ios服,SSR
12324494,阿斯托尔福,n*****,安卓bili服,SR
12324495,斯忒诺,h*****,安卓bili服,SR
12324496,斯忒诺,0*****,安卓bili服,SR
12324497,玛尔达,海*****,ios服,SR
12324498,罗摩,d*****,ios服,SR
12324499,贝奥武夫,e*****,安卓bili服,SR
12324500,贞德,o*****,安卓bili服,SSR
12324501,酒吞童子,施*****,安卓bili服,SSR
12324502,阿斯托尔福,t*****,安卓bili服,SR
12324503,酒吞童子,e*****,安卓bili服,SSR
12324504,卫宫,好*****,安卓bili服,SR
12324505,阿斯托尔福,c*****,安卓bili服,SR
12324506,南丁格尔,c*****,安卓bili服,SSR
12324507,罗摩,g*****,安卓bili服,SR
12324508,弗朗西斯·德雷克,伊*****,安卓bili服,SSR
12324509,诸葛孔明〔埃尔梅罗Ⅱ世〕,九*****,ios服,SSR
12324510,骑士迪昂,屹*****,安卓bili服,SR
12324511,骑士迪昂,日*****,ios服,SR
12324512,齐格飞,b*****,安卓bili服,SR
12324513,卫宫,o*****,安卓bili服,SR
12324514,阿周那,o*****,安卓bili服,SSR
12324515,安妮·伯妮＆玛莉·瑞德,高*****,安卓bili服,SR
12324516,卫宫,高*****,安卓bili服,SR
12324517,阿斯托尔福,3*****,安卓bili服,SR
12324518,骑士迪昂,哟*****,安卓联运服,SR
12324519,安妮·伯妮＆玛莉·瑞德,枫*****,安卓bili服,SR
12324520,玛尔达,凛*****,ios服,SR
12324521,贝奥武夫,朝*****,安卓bili服,SR
12324522,阿斯托尔福,e*****,安卓bili服,SR
12324523,俄里翁,坂*****,安卓bili服,SSR
12324524,骑士迪昂,w*****,安卓bili服,SR
12324525,斯忒诺,c*****,安卓bili服,SR
12324526,卡米拉,c*****,安卓bili服,SR
12324527,贝奥武夫,灵*****,安卓bili服,SR
12324528,酒吞童子,T*****,安卓bili服,SSR
12324529,酒吞童子,香*****,安卓bili服,SSR
12324530,弗兰肯斯坦,a*****,安卓bili服,SR
12324531,卡米拉,e*****,安卓bili服,SR
12324532,卡米拉,p*****,ios服,SR
12324533,玛尔达,a*****,安卓bili服,SR
12324534,童谣,l*****,安卓bili服,SR
12324535,酒吞童子,a*****,安卓bili服,SSR
12324536,骑士迪昂,c*****,ios服,SR
12324537,开膛手杰克,高*****,安卓bili服,SSR
12324538,伊丽莎白·巴托里,名*****,ios服,SR
12324539,骑士迪昂,d*****,安卓bili服,SR
12324540,酒吞童子,z*****,安卓bili服,SSR
12324541,安妮·伯妮＆玛莉·瑞德,e*****,安卓bili服,SR
12324542,赫拉克勒斯,寒*****,安卓bili服,SR
12324543,赫拉克勒斯,寒*****,安卓bili服,SR
12324544,罗摩,d*****,安卓bili服,SR
12324545,童谣,d*****,安卓bili服,SR
12324546,伊丽莎白·巴托里,罪*****,安卓联运服,SR
12324547,玛丽·安托瓦内特,十*****,安卓bili服,SR
12324548,伊丽莎白·巴托里,十*****,安卓bili服,SR
12324549,南丁格尔,屠*****,安卓bili服,SSR
12324550,斯忒诺,d*****,安卓bili服,SR
12324551,兰斯洛特,d*****,ios服,SR
12324552,莫德雷德,期*****,安卓联运服,SSR
12324553,弗拉德三世,期*****,安卓联运服,SSR
12324554,海伦娜·布拉瓦茨基,闪*****,ios服,SR
12324555,酒吞童子,s*****,安卓bili服,SSR
12324556,阿塔兰忒,f*****,安卓bili服,SR
12324557,开膛手杰克,邬*****,安卓bili服,SSR
12324558,阿斯托尔福,m*****,安卓bili服,SR
12324559,玉藻猫,℡*****,安卓bili服,SR
12324560,骑士迪昂,甘*****,ios服,SR
12324561,酒吞童子,e*****,ios服,SSR
12324562,齐格飞,d*****,安卓bili服,SR
12324563,酒吞童子,e*****,安卓bili服,SSR
12324564,玉藻猫,Ð*****,安卓bili服,SR
12324565,玛丽·安托瓦内特,Ð*****,安卓bili服,SR
12324566,贝奥武夫,谯*****,安卓bili服,SR
12324567,卡米拉,立*****,ios服,SR
12324568,诸葛孔明〔埃尔梅罗Ⅱ世〕,Y*****,安卓bili服,SSR
12324569,卫宫,4*****,安卓bili服,SR
12324570,齐格飞,w*****,安卓bili服,SR
12324571,斯忒诺,w*****,安卓bili服,SR
12324572,玛丽·安托瓦内特,w*****,安卓bili服,SR
12324573,兰斯洛特,a*****,ios服,SR
12324574,兰斯洛特,d*****,ios服,SR
