id,info,rname,sname,star
25254690,茨木童子,彼*****,安卓bili服,SR
25254691,茨木童子,萌*****,安卓bili服,SR
25254692,源赖光,g*****,安卓bili服,SSR
25254693,罗摩,4*****,ios服,SR
25254694,卡米拉,4*****,安卓bili服,SR
25254695,茨木童子,♧*****,安卓bili服,SR
25254696,玉藻猫,a*****,安卓bili服,SR
25254697,罗摩,o*****,安卓bili服,SR
25254698,阿蒂拉,Q*****,安卓bili服,SSR
25254699,茨木童子,r*****,安卓bili服,SR
25254700,源赖光,c*****,安卓bili服,SSR
25254701,安妮·伯妮＆玛莉·瑞德,1*****,ios服,SR
25254702,兰斯洛特,a*****,安卓bili服,SR
25254703,阿塔兰忒,a*****,安卓bili服,SR
25254704,伊丽莎白·巴托里,S*****,ios服,SR
25254705,弗拉德三世,a*****,安卓bili服,SSR
25254706,赫拉克勒斯,杜*****,安卓联运服,SR
25254707,南丁格尔,1*****,ios服,SSR
25254708,源赖光,莎*****,ios服,SSR
25254709,茨木童子,h*****,安卓bili服,SR
25254710,骑士迪昂,h*****,安卓bili服,SR
25254711,茨木童子,L*****,ios服,SR
25254712,茨木童子,L*****,ios服,SR
25254713,茨木童子,c*****,安卓bili服,SR
25254714,源赖光,c*****,安卓bili服,SSR
25254715,骑士迪昂,凛*****,ios服,SR
25254716,海伦娜·布拉瓦茨基,w*****,安卓bili服,SR
25254717,罗摩,z*****,安卓bili服,SR
25254718,源赖光,1*****,安卓bili服,SSR
25254719,卫宫〔Assassin〕,锋*****,安卓bili服,SR
25254720,源赖光,6*****,ios服,SSR
25254721,海伦娜·布拉瓦茨基,印*****,安卓bili服,SR
25254722,茨木童子,2*****,安卓bili服,SR
25254723,玛丽·安托瓦内特,枪*****,ios服,SR
25254724,兰斯洛特,1*****,ios服,SR
25254725,源赖光,S*****,ios服,SSR
25254726,茨木童子,S*****,ios服,SR
25254727,茨木童子,b*****,安卓bili服,SR
25254728,茨木童子,l*****,安卓bili服,SR
25254729,源赖光,琪*****,安卓bili服,SSR
25254730,茨木童子,式*****,安卓bili服,SR
25254731,卫宫〔Assassin〕,看*****,安卓bili服,SR
25254732,茨木童子,赤*****,ios服,SR
25254733,茨木童子,2*****,ios服,SR
25254734,开膛手杰克,1*****,ios服,SSR
25254735,源赖光,c*****,安卓bili服,SSR
25254736,玛丽·安托瓦内特,o*****,安卓bili服,SR
25254737,莫德雷德,o*****,安卓bili服,SSR
25254738,茨木童子,然*****,ios服,SR
25254739,茨木童子,S*****,安卓bili服,SR
25254740,阿周那,a*****,安卓bili服,SSR
25254741,弗拉德三世,h*****,安卓bili服,SSR
25254742,源赖光,1*****,ios服,SSR
25254743,茨木童子,H*****,ios服,SR
25254744,兰斯洛特,H*****,ios服,SR
25254745,斯忒诺,9*****,ios服,SR
25254746,源赖光,韦*****,安卓bili服,SSR
25254747,卫宫〔Assassin〕,韦*****,安卓bili服,SR
25254748,源赖光,韦*****,安卓bili服,SSR
25254749,芬恩·麦克库尔,d*****,安卓bili服,SR
25254750,托马斯·爱迪生,d*****,安卓bili服,SR
25254751,伊丽莎白·巴托里,玖*****,安卓bili服,SR
25254752,茨木童子,埃*****,安卓bili服,SR
25254753,阿蒂拉,唐*****,安卓bili服,SSR
25254754,俄里翁,三*****,ios服,SSR
25254755,齐格飞,祁*****,安卓bili服,SR
25254756,海伦娜·布拉瓦茨基,k*****,安卓bili服,SR
25254757,卫宫,5*****,安卓bili服,SR
25254758,李书文,阳*****,安卓bili服,SR
25254759,卫宫,嗨*****,ios服,SR
25254760,茨木童子,g*****,安卓bili服,SR
25254761,迦尔纳,滑*****,ios服,SSR
25254762,茨木童子,g*****,安卓bili服,SR
25254763,源赖光,p*****,安卓bili服,SSR
25254764,源赖光,·*****,安卓bili服,SSR
25254765,茨木童子,今*****,ios服,SR
25254766,茨木童子,卜*****,安卓bili服,SR
25254767,玉藻前,U*****,ios服,SSR
25254768,伊丽莎白·巴托里,霞*****,安卓bili服,SR
25254769,玉藻猫,霞*****,安卓bili服,SR
25254770,茨木童子,哇*****,安卓bili服,SR
25254771,童谣,e*****,ios服,SR
25254772,茨木童子,燕*****,ios服,SR
25254773,玉藻猫,闪*****,安卓bili服,SR
25254774,阿蒂拉,小*****,安卓bili服,SSR
25254775,芬恩·麦克库尔,L*****,安卓bili服,SR
25254776,源赖光,e*****,安卓bili服,SSR
25254777,源赖光,i*****,ios服,SSR
25254778,源赖光,r*****,安卓bili服,SSR
25254779,源赖光,r*****,安卓bili服,SSR
25254780,茨木童子,r*****,安卓bili服,SR
25254781,茨木童子,凛*****,安卓联运服,SR
25254782,齐格飞,危*****,安卓bili服,SR
25254783,茨木童子,9*****,ios服,SR
25254784,齐格飞,怒*****,ios服,SR
25254785,卫宫,怒*****,ios服,SR
25254786,卫宫,幸*****,安卓bili服,SR
25254787,源赖光,u*****,安卓bili服,SSR
25254788,源赖光,u*****,安卓bili服,SSR
25254789,源赖光,唐*****,安卓bili服,SSR
