id,info,rname,sname,star
9231817,贝奥武夫,s*****,安卓bili服,SR
9231818,坂田金时,1*****,ios服,SSR
9231819,海伦娜·布拉瓦茨基,h*****,安卓bili服,SR
9231820,阿斯托尔福,魅*****,安卓bili服,SR
9231821,骑士迪昂,q*****,安卓bili服,SR
9231822,玛尔达,根*****,安卓bili服,SR
9231823,斯忒诺,c*****,安卓bili服,SR
9231824,卫宫,欧*****,ios服,SR
9231825,玉藻猫,x*****,ios服,SR
9231826,阿尔托莉雅·潘德拉贡〔Alter〕,安*****,安卓bili服,SR
9231827,卫宫〔Assassin〕,c*****,ios服,SR
9231828,坂田金时,1*****,ios服,SSR
9231829,玛尔达,z*****,安卓bili服,SR
9231830,卡米拉,c*****,安卓bili服,SR
9231831,阿周那,鸴*****,安卓联运服,SSR
9231832,海伦娜·布拉瓦茨基,鸴*****,安卓联运服,SR
9231833,坂田金时,c*****,ios服,SSR
9231834,阿斯托尔福,0*****,安卓bili服,SR
9231835,卫宫〔Assassin〕,G*****,安卓bili服,SR
9231836,坂田金时,0*****,ios服,SSR
9231837,齐格飞,o*****,安卓bili服,SR
9231838,芬恩·麦克库尔,d*****,安卓bili服,SR
9231839,迦尔纳,q*****,ios服,SSR
9231840,玛尔达,p*****,安卓bili服,SR
9231841,玛丽·安托瓦内特,无*****,安卓bili服,SR
9231842,齐格飞,8*****,ios服,SR
9231843,卡米拉,R*****,ios服,SR
9231844,卫宫,颜*****,ios服,SR
9231845,斯忒诺,n*****,安卓bili服,SR
9231846,坂田金时,1*****,安卓bili服,SSR
9231847,玛尔达,1*****,ios服,SR
