id,info,rname,sname,star
11254652,齐格飞,咲*****,ios服,SR
11254653,阿尔托莉雅·潘德拉贡〔Alter〕,泰*****,ios服,SR
11254654,托马斯·爱迪生,5*****,安卓bili服,SR
11254655,骑士迪昂,5*****,安卓bili服,SR
11254656,玛丽·安托瓦内特,5*****,安卓bili服,SR
11254657,迦尔纳,5*****,安卓bili服,SSR
11254658,阿斯托尔福,E*****,安卓bili服,SR
11254659,童谣,曜*****,安卓联运服,SR
11254660,玛丽·安托瓦内特,l*****,ios服,SR
11254661,兰斯洛特,8*****,ios服,SR
11254662,赫拉克勒斯,0*****,安卓bili服,SR
11254663,卡米拉,幽*****,ios服,SR
11254664,齐格飞,3*****,ios服,SR
11254665,酒吞童子,酱*****,安卓bili服,SSR
11254666,阿塔兰忒,.*****,安卓bili服,SR
11254667,斯忒诺,费*****,ios服,SR
11254668,贞德,l*****,安卓bili服,SSR
11254669,童谣,d*****,ios服,SR
11254670,卫宫,d*****,ios服,SR
11254671,兰斯洛特,无*****,安卓bili服,SR
11254672,开膛手杰克,l*****,安卓bili服,SSR
11254673,酒吞童子,s*****,ios服,SSR
11254674,玉藻猫,c*****,ios服,SR
11254675,芬恩·麦克库尔,冰*****,ios服,SR
11254676,玛尔达,f*****,安卓bili服,SR
11254677,童谣,a*****,ios服,SR
11254678,玛丽·安托瓦内特,追*****,ios服,SR
11254679,安妮·伯妮＆玛莉·瑞德,天*****,ios服,SR
11254680,开膛手杰克,d*****,ios服,SSR
11254681,卫宫〔Assassin〕,c*****,安卓bili服,SR
11254682,卫宫,血*****,安卓联运服,SR
