id,info,rname,sname,star
12350513,骑士迪昂,e*****,安卓bili服,SR
12350514,玉藻猫,p*****,安卓bili服,SR
12350515,酒吞童子,翁*****,安卓bili服,SSR
12350516,安妮·伯妮＆玛莉·瑞德,访*****,安卓bili服,SR
12350517,骑士迪昂,u*****,安卓bili服,SR
12350518,玉藻猫,c*****,ios服,SR
12350519,卡米拉,听*****,安卓bili服,SR
12350520,骑士迪昂,j*****,安卓bili服,SR
12350521,贝奥武夫,很*****,安卓联运服,SR
12350522,童谣,1*****,ios服,SR
12350523,伊丽莎白·巴托里,1*****,ios服,SR
12350524,玉藻猫,n*****,安卓bili服,SR
12350525,斯忒诺,u*****,安卓bili服,SR
12350526,卫宫,u*****,安卓bili服,SR
12350527,莫德雷德,f*****,ios服,SSR
12350528,卡米拉,f*****,安卓bili服,SR
12350529,齐格飞,v*****,安卓bili服,SR
12350530,赫拉克勒斯,v*****,安卓bili服,SR
12350531,玉藻猫,u*****,安卓bili服,SR
12350532,兰斯洛特,e*****,ios服,SR
12350533,赫拉克勒斯,q*****,安卓bili服,SR
12350534,海伦娜·布拉瓦茨基,a*****,ios服,SR
12350535,玛丽·安托瓦内特,风*****,安卓bili服,SR
12350536,玛丽·安托瓦内特,m*****,安卓bili服,SR
12350537,安妮·伯妮＆玛莉·瑞德,s*****,安卓bili服,SR
12350538,斯忒诺,b*****,安卓bili服,SR
12350539,罗摩,周*****,安卓bili服,SR
12350540,安妮·伯妮＆玛莉·瑞德,c*****,ios服,SR
12350541,罗摩,8*****,安卓bili服,SR
12350542,贝奥武夫,b*****,安卓bili服,SR
12350543,玛尔达,m*****,安卓bili服,SR
