id,info,rname,sname,star
13143458,玛丽·安托瓦内特,v*****,安卓bili服,SR
13143459,阿蒂拉,5*****,ios服,SSR
13143460,玉藻猫,八*****,安卓bili服,SR
13143461,玛尔达,h*****,安卓bili服,SR
13143462,斯忒诺,h*****,安卓bili服,SR
13143463,南丁格尔,m*****,安卓bili服,SSR
13143464,玛丽·安托瓦内特,王*****,ios服,SR
13143465,阿蒂拉,4*****,ios服,SSR
13143466,齐格飞,8*****,ios服,SR
13143467,斯忒诺,v*****,安卓bili服,SR
13143468,贝奥武夫,1*****,安卓bili服,SR
13143469,卫宫,z*****,安卓bili服,SR
13143470,贝奥武夫,z*****,安卓bili服,SR
13143471,贞德,b*****,安卓bili服,SSR
13143472,阿斯托尔福,w*****,安卓bili服,SR
13143473,酒吞童子,g*****,安卓bili服,SSR
13143474,斯忒诺,3*****,安卓bili服,SR
13143475,玛尔达,3*****,安卓bili服,SR
13143476,赫拉克勒斯,d*****,安卓bili服,SR
13143477,卫宫,d*****,安卓bili服,SR
13143478,齐格飞,陆*****,安卓bili服,SR
13143479,兰斯洛特,a*****,安卓bili服,SR
13143480,阿斯托尔福,X*****,ios服,SR
13143481,卡米拉,红*****,ios服,SR
13143482,阿周那,半*****,安卓联运服,SSR
13143483,弗拉德三世,这*****,安卓bili服,SSR
13143484,玛丽·安托瓦内特,孃*****,ios服,SR
13143485,芬恩·麦克库尔,9*****,安卓bili服,SR
13143486,阿蒂拉,9*****,安卓bili服,SSR
13143487,酒吞童子,M*****,安卓bili服,SSR
13143488,齐格飞,f*****,安卓bili服,SR
13143489,骑士迪昂,f*****,安卓bili服,SR
13143490,伊丽莎白·巴托里,l*****,安卓bili服,SR
13143491,赫拉克勒斯,l*****,安卓bili服,SR
13143492,弗拉德三世,l*****,安卓bili服,SSR
13143493,阿尔托莉雅·潘德拉贡〔Alter〕,l*****,安卓bili服,SR
13143494,卫宫,濔*****,安卓联运服,SR
13143495,玛尔达,濔*****,安卓联运服,SR
13143496,赫拉克勒斯,u*****,安卓bili服,SR
13143497,弗朗西斯·德雷克,u*****,安卓bili服,SSR
13143498,卫宫,7*****,ios服,SR
13143499,酒吞童子,7*****,ios服,SSR
13143500,开膛手杰克,q*****,安卓bili服,SSR
13143501,玛丽·安托瓦内特,六*****,ios服,SR
13143502,弗兰肯斯坦,元*****,ios服,SR
13143503,阿蒂拉,y*****,安卓bili服,SSR
13143504,玛尔达,o*****,安卓bili服,SR
13143505,赫拉克勒斯,o*****,安卓bili服,SR
13143506,阿尔托莉雅·潘德拉贡〔Alter〕,a*****,安卓bili服,SR
13143507,卡米拉,k*****,安卓bili服,SR
13143508,阿周那,k*****,安卓bili服,SSR
13143509,弗朗西斯·德雷克,康*****,ios服,SSR
13143510,阿斯托尔福,晨*****,安卓bili服,SR
13143511,罗摩,i*****,安卓bili服,SR
13143512,赫拉克勒斯,醉*****,安卓联运服,SR
13143513,李书文,c*****,安卓bili服,SR
13143514,玛丽·安托瓦内特,古*****,安卓bili服,SR
13143515,阿塔兰忒,f*****,安卓bili服,SR
13143516,赫拉克勒斯,8*****,安卓bili服,SR
13143517,酒吞童子,彼*****,安卓bili服,SSR
13143518,玛尔达,彼*****,安卓bili服,SR
13143519,伊丽莎白·巴托里,3*****,ios服,SR
13143520,弗兰肯斯坦,3*****,ios服,SR
13143521,玛丽·安托瓦内特,吾*****,安卓bili服,SR
13143522,玉藻猫,吾*****,安卓bili服,SR
13143523,阿尔托莉雅·潘德拉贡,n*****,安卓bili服,SSR
13143524,弗兰肯斯坦,e*****,ios服,SR
13143525,卫宫,v*****,安卓bili服,SR
13143526,阿周那,2*****,安卓bili服,SSR
13143527,骑士迪昂,m*****,安卓bili服,SR
13143528,兰斯洛特,咕*****,ios服,SR
13143529,童谣,7*****,安卓bili服,SR
13143530,赫拉克勒斯,q*****,安卓bili服,SR
13143531,卫宫,y*****,安卓bili服,SR
13143532,赫拉克勒斯,古*****,安卓bili服,SR
13143533,赫拉克勒斯,s*****,安卓bili服,SR
13143534,酒吞童子,p*****,安卓bili服,SSR
13143535,阿斯托尔福,p*****,安卓bili服,SR
13143536,斯忒诺,1*****,安卓bili服,SR
13143537,齐格飞,p*****,安卓bili服,SR
13143538,玛丽·安托瓦内特,安*****,ios服,SR
13143539,迦尔纳,泉*****,安卓bili服,SSR
13143540,酒吞童子,哈*****,安卓联运服,SSR
13143541,兰斯洛特,P*****,ios服,SR
13143542,卡米拉,s*****,安卓bili服,SR
13143543,罗摩,7*****,安卓bili服,SR
13143544,阿塔兰忒,z*****,安卓bili服,SR
13143545,玛尔达,f*****,安卓bili服,SR
13143546,弗兰肯斯坦,古*****,安卓bili服,SR
13143547,尼古拉·特斯拉,a*****,安卓bili服,SSR
13143548,尼古拉·特斯拉,a*****,安卓bili服,SSR
13143549,酒吞童子,F*****,ios服,SSR
13143550,阿尔托莉雅·潘德拉贡〔Alter〕,a*****,安卓bili服,SR
13143551,斯忒诺,4*****,ios服,SR
13143552,贝奥武夫,4*****,ios服,SR
13143553,阿塔兰忒,扎*****,安卓bili服,SR
13143554,齐格飞,m*****,安卓bili服,SR
13143555,斯忒诺,6*****,安卓bili服,SR
13143556,伊丽莎白·巴托里,e*****,ios服,SR
13143557,卫宫〔Assassin〕,e*****,ios服,SR
