id,info,rname,sname,star
25917191,源赖光,a*****,安卓bili服,SSR
25917192,安妮·伯妮＆玛莉·瑞德,r*****,安卓bili服,SR
25917193,茨木童子,r*****,安卓bili服,SR
25917194,骑士迪昂,单*****,安卓bili服,SR
25917195,玉藻猫,这*****,安卓bili服,SR
25917196,罗摩,a*****,安卓bili服,SR
25917197,迦尔纳,A*****,安卓bili服,SSR
25917198,茨木童子,i*****,安卓bili服,SR
25917199,阿尔托莉雅·潘德拉贡,2*****,ios服,SSR
25917200,莫德雷德,申*****,安卓bili服,SSR
25917201,伊丽莎白·巴托里,亚*****,安卓bili服,SR
25917202,源赖光,恋*****,安卓bili服,SSR
25917203,源赖光,维*****,安卓bili服,SSR
25917204,茨木童子,维*****,安卓bili服,SR
25917205,贝奥武夫,北*****,安卓bili服,SR
25917206,阿斯托尔福,月*****,安卓bili服,SR
25917207,贝奥武夫,4*****,安卓bili服,SR
25917208,茨木童子,a*****,安卓bili服,SR
25917209,源赖光,a*****,安卓bili服,SSR
25917210,茨木童子,a*****,安卓bili服,SR
25917211,卫宫,i*****,安卓bili服,SR
25917212,源赖光,满*****,安卓bili服,SSR
25917213,莫德雷德,8*****,ios服,SSR
25917214,卫宫〔Assassin〕,代*****,安卓bili服,SR
25917215,齐格飞,u*****,安卓bili服,SR
25917216,源赖光,束*****,安卓bili服,SSR
25917217,斯忒诺,束*****,安卓bili服,SR
25917218,阿尔托莉雅·潘德拉贡,3*****,ios服,SSR
25917219,源赖光,五*****,安卓bili服,SSR
25917220,源赖光,x*****,安卓bili服,SSR
25917221,贝奥武夫,x*****,安卓bili服,SR
25917222,卫宫,尤*****,ios服,SR
25917223,兰斯洛特,1*****,ios服,SR
25917224,茨木童子,越*****,安卓bili服,SR
25917225,阿塔兰忒,碧*****,安卓bili服,SR
25917226,源赖光,1*****,ios服,SSR
25917227,茨木童子,5*****,ios服,SR
25917228,茨木童子,5*****,ios服,SR
25917229,源赖光,阿*****,ios服,SSR
25917230,莫德雷德,o*****,安卓bili服,SSR
25917231,茨木童子,f*****,安卓bili服,SR
25917232,俄里翁,f*****,安卓bili服,SSR
25917233,茨木童子,f*****,安卓bili服,SR
25917234,茨木童子,绿*****,安卓联运服,SR
25917235,玉藻猫,9*****,安卓bili服,SR
25917236,弗兰肯斯坦,9*****,安卓bili服,SR
25917237,源赖光,大*****,安卓bili服,SSR
25917238,源赖光,S*****,ios服,SSR
25917239,赫拉克勒斯,墨*****,安卓联运服,SR
25917240,赫拉克勒斯,h*****,ios服,SR
25917241,卫宫,h*****,ios服,SR
25917242,莫德雷德,嗨*****,ios服,SSR
25917243,源赖光,c*****,ios服,SSR
25917244,阿塔兰忒,高*****,ios服,SR
25917245,海伦娜·布拉瓦茨基,张*****,ios服,SR
25917246,托马斯·爱迪生,t*****,ios服,SR
25917247,茨木童子,6*****,安卓bili服,SR
25917248,茨木童子,1*****,ios服,SR
25917249,诸葛孔明〔埃尔梅罗Ⅱ世〕,艾*****,安卓bili服,SSR
25917250,斯忒诺,卫*****,安卓bili服,SR
25917251,茨木童子,银*****,安卓bili服,SR
25917252,尼禄·克劳狄乌斯,1*****,安卓bili服,SR
25917253,茨木童子,8*****,ios服,SR
25917254,茨木童子,1*****,ios服,SR
25917255,弗拉德三世,汝*****,安卓bili服,SSR
25917256,茨木童子,A*****,安卓联运服,SR
25917257,玛尔达,A*****,安卓bili服,SR
25917258,茨木童子,m*****,ios服,SR
25917259,玛尔达,楯*****,ios服,SR
25917260,茨木童子,f*****,ios服,SR
25917261,茨木童子,c*****,安卓bili服,SR
25917262,托马斯·爱迪生,a*****,安卓bili服,SR
25917263,阿斯托尔福,R*****,ios服,SR
25917264,源赖光,6*****,ios服,SSR
25917265,罗摩,c*****,安卓bili服,SR
25917266,源赖光,诸*****,安卓bili服,SSR
25917267,玉藻前,2*****,安卓bili服,SSR
25917268,茨木童子,Z*****,ios服,SR
25917269,茨木童子,u*****,ios服,SR
25917270,骑士迪昂,2*****,安卓bili服,SR
25917271,茨木童子,5*****,安卓bili服,SR
25917272,源赖光,v*****,ios服,SSR
25917273,茨木童子,k*****,安卓bili服,SR
25917274,源赖光,x*****,安卓bili服,SSR
25917275,茨木童子,c*****,ios服,SR
25917276,源赖光,d*****,ios服,SSR
25917277,阿塔兰忒,1*****,安卓bili服,SR
25917278,玉藻前,千*****,安卓bili服,SSR
25917279,卫宫〔Assassin〕,养*****,ios服,SR
25917280,源赖光,s*****,ios服,SSR
25917281,玉藻猫,b*****,安卓bili服,SR
25917282,南丁格尔,4*****,ios服,SSR
25917283,茨木童子,4*****,ios服,SR
25917284,茨木童子,4*****,ios服,SR
25917285,源赖光,w*****,安卓bili服,SSR
25917286,阿尔托莉雅·潘德拉贡,E*****,ios服,SSR
25917287,茨木童子,粉*****,ios服,SR
25917288,齐格飞,1*****,安卓bili服,SR
25917289,茨木童子,a*****,安卓bili服,SR
25917290,茨木童子,K*****,ios服,SR
