id,info,rname,sname,star
9110887,坂田金时,M*****,安卓联运服,SSR
9110888,莫德雷德,F*****,ios服,SSR
9110889,弗朗西斯·德雷克,3*****,安卓bili服,SSR
9110890,卡米拉,4*****,安卓bili服,SR
9110891,阿尔托莉雅·潘德拉贡〔Alter〕,妹*****,安卓bili服,SR
9110892,玛丽·安托瓦内特,蓝*****,安卓联运服,SR
9110893,阿尔托莉雅·潘德拉贡,0*****,ios服,SSR
9110894,兰斯洛特,k*****,安卓bili服,SR
9110895,美狄亚〔Lily〕,P*****,安卓bili服,SR
9110896,托马斯·爱迪生,9*****,安卓bili服,SR
9110897,玛尔达,s*****,安卓bili服,SR
9110898,玛尔达,s*****,安卓bili服,SR
9110899,卡米拉,z*****,安卓bili服,SR
9110900,赫拉克勒斯,6*****,安卓bili服,SR
9110901,兰斯洛特,N*****,ios服,SR
9110902,玛丽·安托瓦内特,h*****,安卓bili服,SR
9110903,骑士迪昂,北*****,安卓bili服,SR
9110904,骑士迪昂,偽*****,安卓联运服,SR
9110905,玛丽·安托瓦内特,1*****,安卓bili服,SR
9110906,坂田金时,1*****,安卓bili服,SSR
9110907,兰斯洛特,明*****,安卓bili服,SR
9110908,卡米拉,y*****,安卓bili服,SR
9110909,赫拉克勒斯,y*****,安卓bili服,SR
9110910,骑士迪昂,d*****,安卓bili服,SR
9110911,兰斯洛特,f*****,安卓bili服,SR
9110912,阿斯托尔福,l*****,安卓bili服,SR
9110913,阿蒂拉,昳*****,安卓bili服,SSR
9110914,迦尔纳,滑*****,安卓联运服,SSR
9110915,芬恩·麦克库尔,8*****,安卓bili服,SR
9110916,坂田金时,月*****,安卓bili服,SSR
9110917,玛丽·安托瓦内特,月*****,安卓bili服,SR
9110918,安妮·伯妮＆玛莉·瑞德,r*****,安卓bili服,SR
9110919,玛尔达,r*****,安卓bili服,SR
9110920,坂田金时,r*****,安卓bili服,SSR
9110921,玛尔达,p*****,安卓bili服,SR
9110922,斯忒诺,p*****,安卓bili服,SR
9110923,弗兰肯斯坦,e*****,安卓bili服,SR
9110924,坂田金时,性*****,ios服,SSR
9110925,芬恩·麦克库尔,宗*****,安卓bili服,SR
9110926,坂田金时,a*****,安卓bili服,SSR
9110927,阿塔兰忒,3*****,安卓bili服,SR
9110928,坂田金时,H*****,安卓bili服,SSR
9110929,斯忒诺,e*****,ios服,SR
9110930,斯忒诺,g*****,安卓bili服,SR
9110931,玛丽·安托瓦内特,S*****,ios服,SR
9110932,美狄亚〔Lily〕,5*****,安卓bili服,SR
9110933,玛尔达,中*****,ios服,SR
9110934,玛丽·安托瓦内特,d*****,安卓bili服,SR
9110935,坂田金时,K*****,ios服,SSR
9110936,卡米拉,吵*****,安卓bili服,SR
9110937,玛丽·安托瓦内特,苍*****,安卓bili服,SR
9110938,坂田金时,苍*****,安卓bili服,SSR
9110939,安妮·伯妮＆玛莉·瑞德,x*****,安卓bili服,SR
9110940,兰斯洛特,h*****,安卓bili服,SR
9110941,李书文,r*****,安卓bili服,SR
9110942,卫宫,丶*****,安卓bili服,SR
9110943,安妮·伯妮＆玛莉·瑞德,e*****,安卓bili服,SR
9110944,赫拉克勒斯,七*****,安卓bili服,SR
9110945,兰斯洛特,u*****,安卓bili服,SR
9110946,阿尔托莉雅·潘德拉贡〔Alter〕,凛*****,安卓bili服,SR
9110947,尼古拉·特斯拉,凛*****,安卓bili服,SSR
9110948,玛丽·安托瓦内特,凛*****,安卓bili服,SR
9110949,开膛手杰克,苍*****,安卓联运服,SSR
9110950,坂田金时,8*****,安卓bili服,SSR
9110951,坂田金时,8*****,安卓bili服,SSR
9110952,赫拉克勒斯,嵇*****,安卓bili服,SR
9110953,卡米拉,嵇*****,安卓bili服,SR
9110954,赫拉克勒斯,枯*****,安卓bili服,SR
9110955,海伦娜·布拉瓦茨基,上*****,安卓联运服,SR
9110956,阿斯托尔福,x*****,安卓bili服,SR
9110957,卡米拉,1*****,ios服,SR
9110958,伊丽莎白·巴托里,1*****,ios服,SR
9110959,玉藻前,t*****,安卓bili服,SSR
9110960,坂田金时,狂*****,安卓bili服,SSR
9110961,坂田金时,苏*****,安卓bili服,SSR
9110962,玛丽·安托瓦内特,悲*****,安卓bili服,SR
9110963,玉藻猫,o*****,安卓bili服,SR
9110964,玉藻猫,无*****,ios服,SR
9110965,阿塔兰忒,k*****,安卓bili服,SR
9110966,赫拉克勒斯,e*****,安卓bili服,SR
9110967,卫宫,w*****,安卓bili服,SR
9110968,赫拉克勒斯,o*****,安卓bili服,SR
9110969,阿斯托尔福,苍*****,安卓bili服,SR
9110970,赫拉克勒斯,A*****,安卓联运服,SR
9110971,齐格飞,a*****,安卓bili服,SR
9110972,阿塔兰忒,沐*****,安卓bili服,SR
9110973,安妮·伯妮＆玛莉·瑞德,橙*****,安卓bili服,SR
9110974,南丁格尔,l*****,安卓bili服,SSR
9110975,坂田金时,f*****,ios服,SSR
9110976,芬恩·麦克库尔,随*****,安卓bili服,SR
9110977,罗摩,5*****,ios服,SR
9110978,童谣,5*****,ios服,SR
9110979,伊丽莎白·巴托里,U*****,ios服,SR
9110980,玉藻猫,z*****,安卓bili服,SR
9110981,安妮·伯妮＆玛莉·瑞德,垃*****,安卓bili服,SR
9110982,卫宫,虹*****,ios服,SR
9110983,伊丽莎白·巴托里,k*****,安卓bili服,SR
9110984,坂田金时,u*****,ios服,SSR
9110985,托马斯·爱迪生,m*****,ios服,SR
9110986,玉藻猫,r*****,安卓bili服,SR
