id,info,rname,sname,star
24229253,莫德雷德,明*****,安卓联运服,SSR
24229254,阿斯托尔福,殴*****,安卓bili服,SR
24229255,源赖光,1*****,安卓bili服,SSR
24229256,茨木童子,1*****,安卓bili服,SR
24229257,源赖光,诛*****,ios服,SSR
24229258,茨木童子,石*****,ios服,SR
24229259,安妮·伯妮＆玛莉·瑞德,I*****,安卓bili服,SR
24229260,卫宫〔Assassin〕,神*****,ios服,SR
24229261,卫宫〔Assassin〕,神*****,ios服,SR
24229262,兰斯洛特,烟*****,安卓bili服,SR
24229263,罗摩,4*****,ios服,SR
24229264,罗摩,4*****,ios服,SR
24229265,源赖光,冰*****,安卓bili服,SSR
24229266,卡米拉,v*****,安卓bili服,SR
24229267,茨木童子,比*****,安卓bili服,SR
24229268,卫宫,艾*****,安卓联运服,SR
24229269,斯忒诺,艾*****,安卓联运服,SR
24229270,源赖光,阿*****,安卓bili服,SSR
24229271,迦尔纳,S*****,安卓bili服,SSR
24229272,阿尔托莉雅·潘德拉贡,绥*****,ios服,SSR
24229273,齐格飞,o*****,ios服,SR
24229274,罗摩,0*****,安卓bili服,SR
24229275,南丁格尔,0*****,安卓bili服,SSR
24229276,罗摩,0*****,安卓bili服,SR
24229277,卫宫,吼*****,ios服,SR
24229278,源赖光,皮*****,安卓bili服,SSR
24229279,茨木童子,u*****,ios服,SR
24229280,茨木童子,小*****,ios服,SR
24229281,诸葛孔明〔埃尔梅罗Ⅱ世〕,森*****,安卓bili服,SSR
24229282,茨木童子,咸*****,安卓bili服,SR
24229283,卡米拉,星*****,ios服,SR
24229284,茨木童子,2*****,ios服,SR
24229285,源赖光,酆*****,安卓bili服,SSR
24229286,茨木童子,j*****,安卓bili服,SR
24229287,茨木童子,壑*****,ios服,SR
24229288,阿斯托尔福,A*****,安卓bili服,SR
24229289,阿斯托尔福,L*****,ios服,SR
24229290,茨木童子,L*****,ios服,SR
24229291,玛丽·安托瓦内特,我*****,ios服,SR
24229292,兰斯洛特,W*****,安卓bili服,SR
24229293,源赖光,绫*****,ios服,SSR
24229294,阿斯托尔福,T*****,ios服,SR
24229295,安妮·伯妮＆玛莉·瑞德,永*****,安卓联运服,SR
24229296,弗兰肯斯坦,巢*****,ios服,SR
24229297,茨木童子,萌*****,安卓联运服,SR
24229298,茨木童子,墨*****,安卓bili服,SR
24229299,骑士迪昂,M*****,安卓bili服,SR
24229300,茨木童子,七*****,安卓bili服,SR
24229301,弗朗西斯·德雷克,R*****,安卓联运服,SSR
24229302,源赖光,平*****,ios服,SSR
24229303,茨木童子,0*****,ios服,SR
24229304,源赖光,蓝*****,安卓bili服,SSR
24229305,茨木童子,行*****,安卓bili服,SR
24229306,玛尔达,q*****,ios服,SR
24229307,源赖光,V*****,ios服,SSR
24229308,茨木童子,7*****,ios服,SR
24229309,伊丽莎白·巴托里,i*****,安卓bili服,SR
24229310,源赖光,目*****,安卓bili服,SSR
24229311,源赖光,m*****,ios服,SSR
24229312,茨木童子,n*****,安卓bili服,SR
24229313,齐格飞,天*****,安卓bili服,SR
24229314,阿蒂拉,辣*****,ios服,SSR
24229315,茨木童子,K*****,安卓bili服,SR
24229316,茨木童子,K*****,安卓bili服,SR
24229317,茨木童子,K*****,安卓bili服,SR
24229318,茨木童子,A*****,ios服,SR
24229319,兰斯洛特,8*****,ios服,SR
24229320,源赖光,月*****,ios服,SSR
24229321,卫宫,月*****,ios服,SR
24229322,茨木童子,y*****,安卓bili服,SR
24229323,罗摩,r*****,安卓bili服,SR
24229324,源赖光,许*****,安卓bili服,SSR
24229325,齐格飞,5*****,安卓bili服,SR
24229326,芬恩·麦克库尔,鲁*****,安卓bili服,SR
24229327,源赖光,一*****,安卓bili服,SSR
24229328,卡米拉,D*****,ios服,SR
24229329,赫拉克勒斯,爱*****,安卓bili服,SR
24229330,弗兰肯斯坦,5*****,ios服,SR
24229331,茨木童子,Y*****,安卓bili服,SR
24229332,齐格飞,1*****,ios服,SR
24229333,阿塔兰忒,科*****,安卓bili服,SR
24229334,弗兰肯斯坦,Z*****,ios服,SR
24229335,罗摩,a*****,安卓bili服,SR
24229336,源赖光,彦*****,安卓bili服,SSR
24229337,源赖光,F*****,ios服,SSR
24229338,玛丽·安托瓦内特,修*****,安卓bili服,SR
24229339,安妮·伯妮＆玛莉·瑞德,灰*****,安卓bili服,SR
24229340,源赖光,2*****,安卓bili服,SSR
24229341,海伦娜·布拉瓦茨基,u*****,安卓bili服,SR
24229342,茨木童子,白*****,安卓bili服,SR
24229343,源赖光,虞*****,安卓bili服,SSR
24229344,茨木童子,u*****,安卓bili服,SR
24229345,源赖光,玉*****,ios服,SSR
24229346,玉藻猫,m*****,ios服,SR
24229347,源赖光,b*****,安卓bili服,SSR
24229348,源赖光,嘿*****,ios服,SSR
24229349,女王梅芙,c*****,安卓bili服,SSR
24229350,芬恩·麦克库尔,c*****,安卓bili服,SR
24229351,茨木童子,Q*****,ios服,SR
24229352,迦尔纳,l*****,安卓bili服,SSR
