id,info,rname,sname,star
30537417,玛丽·安托瓦内特,O*****,ios服,SR
30537418,莫德雷德,木*****,安卓bili服,SSR
30537419,玛尔达,夏*****,安卓bili服,SR
30537420,玉藻猫,老*****,安卓bili服,SR
30537421,兰斯洛特,こ*****,安卓bili服,SR
30537422,阿周那,鱼*****,安卓bili服,SSR
30537423,赫拉克勒斯,鱼*****,安卓bili服,SR
30537424,玛丽·安托瓦内特,公*****,安卓bili服,SR
30537425,南丁格尔,5*****,ios服,SSR
30537426,弗兰肯斯坦,q*****,安卓bili服,SR
30537427,阿塔兰忒,4*****,ios服,SR
30537428,贞德,4*****,ios服,SSR
30537429,斯忒诺,Q*****,ios服,SR
30537430,南丁格尔,q*****,ios服,SSR
30537431,玛尔达,c*****,安卓bili服,SR
30537432,阿塔兰忒,k*****,安卓bili服,SR
30537433,齐格飞,k*****,安卓bili服,SR
30537434,玉藻前,k*****,安卓bili服,SSR
30537435,贝奥武夫,t*****,安卓bili服,SR
30537436,玛尔达,n*****,安卓bili服,SR
30537437,齐格飞,8*****,安卓bili服,SR
30537438,兰斯洛特,沈*****,ios服,SR
30537439,弗兰肯斯坦,天*****,安卓bili服,SR
30537440,玛丽·安托瓦内特,M*****,ios服,SR
30537441,安妮·伯妮＆玛莉·瑞德,e*****,ios服,SR
30537442,安妮·伯妮＆玛莉·瑞德,a*****,ios服,SR
30537443,弗兰肯斯坦,U*****,安卓bili服,SR
30537444,罗摩,U*****,安卓bili服,SR
30537445,兰斯洛特,春*****,安卓bili服,SR
30537446,兰斯洛特,缑*****,安卓bili服,SR
30537447,美狄亚〔Lily〕,缑*****,安卓bili服,SR
