id,info,rname,sname,star
8914426,兰斯洛特,s*****,安卓bili服,SR
8914427,海伦娜·布拉瓦茨基,5*****,安卓bili服,SR
8914428,斯忒诺,k*****,ios服,SR
8914429,坂田金时,堕*****,安卓bili服,SSR
8914430,玉藻猫,士*****,ios服,SR
8914431,诸葛孔明〔埃尔梅罗Ⅱ世〕,o*****,安卓bili服,SSR
8914432,李书文,o*****,安卓bili服,SR
8914433,李书文,o*****,安卓bili服,SR
8914434,坂田金时,奥*****,安卓bili服,SSR
8914435,卡米拉,游*****,安卓bili服,SR
8914436,诸葛孔明〔埃尔梅罗Ⅱ世〕,w*****,ios服,SSR
8914437,童谣,本*****,安卓联运服,SR
8914438,弗兰肯斯坦,李*****,安卓联运服,SR
8914439,贝奥武夫,r*****,安卓bili服,SR
8914440,坂田金时,高*****,ios服,SSR
8914441,斯忒诺,a*****,安卓bili服,SR
8914442,阿斯托尔福,5*****,安卓bili服,SR
8914443,齐格飞,莫*****,安卓bili服,SR
8914444,斯忒诺,e*****,安卓bili服,SR
8914445,阿周那,鲜*****,安卓bili服,SSR
8914446,玛丽·安托瓦内特,e*****,安卓bili服,SR
8914447,玛尔达,柳*****,ios服,SR
8914448,童谣,4*****,ios服,SR
8914449,阿斯托尔福,E*****,安卓bili服,SR
8914450,美狄亚〔Lily〕,c*****,ios服,SR
8914451,兰斯洛特,c*****,ios服,SR
8914452,伊丽莎白·巴托里,8*****,ios服,SR
8914453,阿周那,7*****,ios服,SSR
8914454,骑士迪昂,咸*****,安卓bili服,SR
8914455,坂田金时,大*****,ios服,SSR
8914456,坂田金时,还*****,安卓bili服,SSR
8914457,齐格飞,0*****,安卓bili服,SR
8914458,阿周那,式*****,安卓bili服,SSR
8914459,卫宫,鬼*****,ios服,SR
8914460,坂田金时,x*****,安卓bili服,SSR
8914461,卫宫,x*****,安卓bili服,SR
8914462,坂田金时,s*****,ios服,SSR
8914463,坂田金时,落*****,安卓bili服,SSR
8914464,弗拉德三世,1*****,安卓bili服,SSR
8914465,卫宫,蓝*****,安卓bili服,SR
8914466,玉藻猫,蓝*****,安卓bili服,SR
8914467,坂田金时,5*****,安卓bili服,SSR
8914468,玛尔达,K*****,ios服,SR
8914469,卫宫,神*****,ios服,SR
8914470,罗摩,S*****,ios服,SR
8914471,骑士迪昂,卫*****,ios服,SR
8914472,海伦娜·布拉瓦茨基,长*****,安卓bili服,SR
8914473,坂田金时,f*****,ios服,SSR
8914474,玛丽·安托瓦内特,云*****,安卓联运服,SR
8914475,阿尔托莉雅·潘德拉贡〔Alter〕,云*****,安卓联运服,SR
8914476,童谣,云*****,安卓联运服,SR
8914477,坂田金时,j*****,安卓bili服,SSR
8914478,骑士迪昂,夜*****,安卓联运服,SR
8914479,海伦娜·布拉瓦茨基,S*****,安卓bili服,SR
8914480,阿斯托尔福,奈*****,安卓bili服,SR
8914481,弗朗西斯·德雷克,w*****,安卓bili服,SSR
8914482,卫宫,x*****,安卓bili服,SR
8914483,卡米拉,d*****,ios服,SR
8914484,弗朗西斯·德雷克,d*****,ios服,SSR
8914485,坂田金时,卫*****,安卓bili服,SSR
8914486,罗摩,t*****,安卓bili服,SR
8914487,坂田金时,t*****,安卓bili服,SSR
8914488,安妮·伯妮＆玛莉·瑞德,o*****,安卓bili服,SR
8914489,坂田金时,欧*****,安卓bili服,SSR
8914490,兰斯洛特,么*****,ios服,SR
8914491,坂田金时,木*****,安卓bili服,SSR
8914492,莫德雷德,呵*****,安卓bili服,SSR
8914493,斯忒诺,呵*****,安卓bili服,SR
8914494,伊丽莎白·巴托里,疯*****,ios服,SR
8914495,骑士迪昂,5*****,ios服,SR
8914496,坂田金时,闇*****,安卓bili服,SSR
8914497,卡米拉,小*****,安卓bili服,SR
8914498,卡米拉,7*****,安卓bili服,SR
8914499,迦尔纳,1*****,安卓bili服,SSR
8914500,伊丽莎白·巴托里,虚*****,安卓bili服,SR
8914501,坂田金时,虚*****,安卓bili服,SSR
8914502,骑士迪昂,黑*****,安卓bili服,SR
8914503,兰斯洛特,c*****,ios服,SR
8914504,伊丽莎白·巴托里,和*****,安卓bili服,SR
8914505,阿斯托尔福,q*****,安卓bili服,SR
8914506,坂田金时,一*****,安卓bili服,SSR
8914507,齐格飞,m*****,安卓bili服,SR
8914508,斯忒诺,深*****,ios服,SR
8914509,玛尔达,深*****,ios服,SR
8914510,骑士迪昂,司*****,ios服,SR
8914511,兰斯洛特,不*****,ios服,SR
8914512,坂田金时,咸*****,ios服,SSR
8914513,俄里翁,c*****,ios服,SSR
8914514,玉藻前,句*****,安卓bili服,SSR
8914515,卫宫,代*****,ios服,SR
8914516,阿蒂拉,1*****,ios服,SSR
8914517,芬恩·麦克库尔,忧*****,安卓bili服,SR
8914518,芬恩·麦克库尔,我*****,安卓bili服,SR
8914519,卫宫,b*****,ios服,SR
8914520,骑士迪昂,l*****,安卓bili服,SR
8914521,齐格飞,d*****,ios服,SR
8914522,玛尔达,a*****,安卓bili服,SR
8914523,卫宫,2*****,安卓bili服,SR
8914524,玉藻前,夜*****,安卓bili服,SSR
8914525,弗拉德三世,L*****,ios服,SSR
