id,info,rname,sname,star
12241901,斯忒诺,m*****,安卓bili服,SR
12241902,骑士迪昂,m*****,安卓bili服,SR
12241903,阿塔兰忒,3*****,安卓bili服,SR
12241904,骑士迪昂,v*****,安卓联运服,SR
12241905,齐格飞,斯*****,安卓bili服,SR
12241906,骑士迪昂,e*****,安卓bili服,SR
12241907,玉藻猫,e*****,安卓bili服,SR
12241908,卡米拉,y*****,安卓bili服,SR
12241909,伊丽莎白·巴托里,w*****,安卓bili服,SR
12241910,海伦娜·布拉瓦茨基,闾*****,ios服,SR
12241911,罗摩,w*****,安卓bili服,SR
12241912,阿塔兰忒,a*****,ios服,SR
12241913,酒吞童子,潇*****,安卓联运服,SSR
12241914,卫宫,拉*****,安卓bili服,SR
12241915,玉藻猫,7*****,安卓bili服,SR
12241916,齐格飞,s*****,安卓bili服,SR
12241917,海伦娜·布拉瓦茨基,R*****,ios服,SR
12241918,阿尔托莉雅·潘德拉贡,暗*****,安卓bili服,SSR
12241919,酒吞童子,t*****,安卓bili服,SSR
12241920,卡米拉,8*****,安卓bili服,SR
12241921,卡米拉,\*****,安卓bili服,SR
12241922,斯忒诺,b*****,安卓bili服,SR
12241923,贞德,i*****,安卓bili服,SSR
12241924,卡米拉,i*****,安卓bili服,SR
12241925,阿斯托尔福,p*****,ios服,SR
12241926,卫宫,魏*****,ios服,SR
12241927,玉藻猫,咸*****,安卓bili服,SR
12241928,罗摩,绫*****,安卓bili服,SR
12241929,骑士迪昂,k*****,安卓bili服,SR
12241930,斯忒诺,k*****,安卓bili服,SR
12241931,酒吞童子,海*****,安卓bili服,SSR
12241932,伊丽莎白·巴托里,4*****,ios服,SR
12241933,伊丽莎白·巴托里,r*****,安卓bili服,SR
12241934,阿斯托尔福,世*****,安卓bili服,SR
12241935,玉藻猫,c*****,ios服,SR
12241936,卫宫,宝*****,安卓bili服,SR
12241937,伊丽莎白·巴托里,北*****,ios服,SR
12241938,骑士迪昂,浅*****,安卓bili服,SR
12241939,玛丽·安托瓦内特,r*****,安卓bili服,SR
12241940,托马斯·爱迪生,d*****,安卓bili服,SR
12241941,玛丽·安托瓦内特,i*****,安卓bili服,SR
12241942,玛丽·安托瓦内特,污*****,ios服,SR
12241943,尼禄·克劳狄乌斯,d*****,ios服,SR
12241944,卫宫〔Assassin〕,x*****,ios服,SR
12241945,美狄亚〔Lily〕,某*****,安卓bili服,SR
12241946,卫宫,v*****,安卓bili服,SR
12241947,罗摩,金*****,安卓bili服,SR
12241948,骑士迪昂,金*****,安卓bili服,SR
12241949,弗拉德三世,金*****,安卓bili服,SSR
12241950,阿塔兰忒,n*****,安卓bili服,SR
12241951,卫宫,n*****,安卓bili服,SR
12241952,赫拉克勒斯,白*****,安卓bili服,SR
12241953,玛尔达,r*****,安卓bili服,SR
12241954,卫宫,a*****,安卓bili服,SR
12241955,酒吞童子,t*****,安卓bili服,SSR
12241956,俄里翁,z*****,安卓bili服,SSR
12241957,卡米拉,0*****,ios服,SR
12241958,玛尔达,0*****,ios服,SR
12241959,酒吞童子,A*****,ios服,SSR
12241960,卫宫,阁*****,安卓bili服,SR
12241961,贞德,s*****,安卓bili服,SSR
12241962,安妮·伯妮＆玛莉·瑞德,y*****,安卓bili服,SR
12241963,阿塔兰忒,e*****,安卓bili服,SR
12241964,兰斯洛特,i*****,安卓bili服,SR
12241965,阿尔托莉雅·潘德拉贡,8*****,ios服,SSR
12241966,酒吞童子,v*****,安卓bili服,SSR
12241967,齐格飞,i*****,安卓bili服,SR
12241968,玉藻猫,e*****,安卓bili服,SR
12241969,海伦娜·布拉瓦茨基,e*****,安卓bili服,SR
12241970,阿斯托尔福,g*****,安卓bili服,SR
12241971,斯忒诺,i*****,安卓bili服,SR
12241972,齐格飞,i*****,安卓bili服,SR
12241973,贝奥武夫,c*****,安卓bili服,SR
12241974,齐格飞,s*****,安卓bili服,SR
12241975,赫拉克勒斯,m*****,安卓bili服,SR
12241976,伊丽莎白·巴托里,v*****,安卓bili服,SR
12241977,酒吞童子,8*****,安卓bili服,SSR
12241978,卡米拉,8*****,安卓bili服,SR
12241979,童谣,我*****,安卓联运服,SR
12241980,酒吞童子,谷*****,安卓bili服,SSR
12241981,贝奥武夫,内*****,安卓bili服,SR
12241982,酒吞童子,单*****,ios服,SSR
12241983,安妮·伯妮＆玛莉·瑞德,单*****,ios服,SR
12241984,阿塔兰忒,姬*****,安卓bili服,SR
12241985,斯忒诺,Y*****,安卓联运服,SR
12241986,玉藻猫,S*****,安卓bili服,SR
12241987,伊丽莎白·巴托里,k*****,安卓bili服,SR
12241988,弗朗西斯·德雷克,n*****,安卓bili服,SSR
12241989,齐格飞,骑*****,安卓bili服,SR
12241990,卡米拉,u*****,安卓bili服,SR
12241991,卡米拉,M*****,ios服,SR
12241992,赫拉克勒斯,绯*****,安卓bili服,SR
12241993,齐格飞,绯*****,安卓bili服,SR
12241994,齐格飞,g*****,安卓bili服,SR
12241995,骑士迪昂,c*****,安卓bili服,SR
12241996,玛尔达,c*****,安卓bili服,SR
12241997,玛尔达,c*****,安卓bili服,SR
12241998,海伦娜·布拉瓦茨基,无*****,安卓bili服,SR
12241999,安妮·伯妮＆玛莉·瑞德,z*****,安卓bili服,SR
12242000,卫宫,咸*****,安卓bili服,SR
