id,info,rname,sname,star
16494783,阿蒂拉,t*****,安卓bili服,SSR
16494784,海伦娜·布拉瓦茨基,海*****,安卓联运服,SR
16494785,卫宫,撒*****,ios服,SR
16494786,阿尔托莉雅·潘德拉贡〔Alter〕,5*****,安卓bili服,SR
16494787,俄里翁,北*****,安卓bili服,SSR
16494788,玉藻猫,梅*****,ios服,SR
16494789,莫德雷德,北*****,安卓bili服,SSR
16494790,贝奥武夫,C*****,ios服,SR
16494791,齐格飞,a*****,ios服,SR
16494792,阿塔兰忒,U*****,ios服,SR
16494793,阿斯托尔福,诺*****,ios服,SR
16494794,卡米拉,八*****,ios服,SR
16494795,斯卡哈,嵐*****,安卓bili服,SSR
16494796,阿塔兰忒,e*****,安卓bili服,SR
16494797,玛尔达,嵐*****,安卓bili服,SR
16494798,斯卡哈,慕*****,安卓bili服,SSR
16494799,斯卡哈,d*****,安卓bili服,SSR
16494800,海伦娜·布拉瓦茨基,影*****,ios服,SR
16494801,卫宫,b*****,安卓bili服,SR
16494802,卫宫〔Assassin〕,t*****,安卓bili服,SR
16494803,骑士迪昂,9*****,安卓bili服,SR
16494804,卫宫,缇*****,ios服,SR
16494805,斯卡哈,s*****,ios服,SSR
16494806,弗拉德三世,n*****,安卓bili服,SSR
16494807,卡米拉,千*****,ios服,SR
16494808,罗摩,落*****,安卓bili服,SR
16494809,卡米拉,9*****,ios服,SR
16494810,骑士迪昂,u*****,安卓bili服,SR
16494811,斯忒诺,暗*****,ios服,SR
16494812,卫宫,女*****,ios服,SR
16494813,卫宫,塞*****,ios服,SR
