id,info,rname,sname,star
25948152,贞德,v*****,安卓bili服,SSR
25948153,玛丽·安托瓦内特,v*****,安卓bili服,SR
25948154,阿斯托尔福,v*****,安卓bili服,SR
25948155,茨木童子,野*****,ios服,SR
25948156,茨木童子,a*****,安卓bili服,SR
25948157,茨木童子,A*****,ios服,SR
25948158,阿尔托莉雅·潘德拉贡〔Alter〕,6*****,安卓bili服,SR
25948159,茨木童子,w*****,ios服,SR
25948160,阿塔兰忒,P*****,ios服,SR
25948161,茨木童子,慕*****,安卓bili服,SR
25948162,安妮·伯妮＆玛莉·瑞德,p*****,安卓bili服,SR
25948163,斯忒诺,卫*****,安卓bili服,SR
25948164,玛丽·安托瓦内特,1*****,安卓联运服,SR
25948165,阿斯托尔福,5*****,ios服,SR
25948166,玉藻猫,萌*****,安卓bili服,SR
25948167,玉藻猫,一*****,安卓bili服,SR
25948168,骑士迪昂,欧*****,安卓联运服,SR
25948169,源赖光,T*****,安卓bili服,SSR
25948170,茨木童子,特*****,安卓bili服,SR
25948171,童谣,c*****,安卓bili服,SR
25948172,弗拉德三世,9*****,安卓bili服,SSR
25948173,茨木童子,咕*****,安卓bili服,SR
25948174,源赖光,领*****,安卓bili服,SSR
25948175,俄里翁,c*****,ios服,SSR
25948176,玛丽·安托瓦内特,c*****,ios服,SR
25948177,源赖光,喜*****,安卓bili服,SSR
25948178,源赖光,总*****,安卓bili服,SSR
25948179,俄里翁,马*****,ios服,SSR
25948180,源赖光,r*****,ios服,SSR
25948181,茨木童子,o*****,安卓bili服,SR
25948182,阿尔托莉雅·潘德拉贡〔Alter〕,甘*****,安卓bili服,SR
25948183,源赖光,c*****,ios服,SSR
25948184,茨木童子,人*****,安卓bili服,SR
25948185,卡米拉,b*****,ios服,SR
25948186,海伦娜·布拉瓦茨基,9*****,安卓bili服,SR
25948187,尼禄·克劳狄乌斯,Y*****,安卓bili服,SR
25948188,开膛手杰克,O*****,安卓bili服,SSR
25948189,阿斯托尔福,m*****,安卓bili服,SR
25948190,童谣,l*****,ios服,SR
25948191,茨木童子,6*****,ios服,SR
25948192,源赖光,J*****,ios服,SSR
25948193,茨木童子,2*****,ios服,SR
25948194,源赖光,飘*****,安卓bili服,SSR
25948195,海伦娜·布拉瓦茨基,K*****,安卓bili服,SR
25948196,兰斯洛特,鲜*****,安卓bili服,SR
25948197,弗兰肯斯坦,b*****,安卓bili服,SR
25948198,玛尔达,柯*****,安卓bili服,SR
25948199,玉藻猫,O*****,ios服,SR
25948200,莫德雷德,8*****,安卓bili服,SSR
25948201,海伦娜·布拉瓦茨基,u*****,ios服,SR
25948202,玉藻前,欧*****,安卓bili服,SSR
25948203,玉藻前,容*****,安卓bili服,SSR
25948204,玉藻猫,i*****,安卓bili服,SR
25948205,茨木童子,W*****,安卓bili服,SR
25948206,罗摩,尹*****,安卓bili服,SR
25948207,阿周那,o*****,安卓bili服,SSR
25948208,茨木童子,t*****,安卓bili服,SR
25948209,女王梅芙,i*****,安卓bili服,SSR
25948210,斯忒诺,i*****,安卓bili服,SR
25948211,骑士迪昂,老*****,ios服,SR
25948212,兰斯洛特,府*****,ios服,SR
25948213,玛尔达,耿*****,安卓bili服,SR
25948214,玉藻猫,老*****,安卓bili服,SR
25948215,茨木童子,i*****,安卓bili服,SR
25948216,茨木童子,i*****,安卓bili服,SR
25948217,贝奥武夫,铭*****,安卓bili服,SR
25948218,阿斯托尔福,僻*****,安卓bili服,SR
25948219,齐格飞,6*****,ios服,SR
25948220,茨木童子,W*****,安卓bili服,SR
25948221,玉藻前,杰*****,安卓bili服,SSR
25948222,斯忒诺,法*****,ios服,SR
25948223,卡米拉,法*****,ios服,SR
25948224,茨木童子,e*****,安卓bili服,SR
25948225,阿蒂拉,阿*****,ios服,SSR
25948226,玛丽·安托瓦内特,碧*****,安卓联运服,SR
25948227,源赖光,i*****,安卓bili服,SSR
25948228,茨木童子,0*****,ios服,SR
25948229,卡米拉,k*****,安卓bili服,SR
25948230,源赖光,p*****,安卓bili服,SSR
25948231,源赖光,b*****,安卓bili服,SSR
25948232,兰斯洛特,征*****,ios服,SR
25948233,斯忒诺,夏*****,安卓bili服,SR
25948234,骑士迪昂,十*****,安卓bili服,SR
25948235,芬恩·麦克库尔,p*****,ios服,SR
25948236,源赖光,p*****,ios服,SSR
25948237,斯忒诺,e*****,安卓bili服,SR
25948238,托马斯·爱迪生,1*****,安卓bili服,SR
25948239,贝奥武夫,1*****,ios服,SR
25948240,卡米拉,·*****,ios服,SR
25948241,玛尔达,·*****,ios服,SR
25948242,海伦娜·布拉瓦茨基,羞*****,安卓bili服,SR
25948243,斯忒诺,3*****,安卓bili服,SR
25948244,源赖光,e*****,安卓bili服,SSR
25948245,斯忒诺,2*****,ios服,SR
25948246,茨木童子,殇*****,安卓bili服,SR
25948247,赫拉克勒斯,5*****,安卓bili服,SR
25948248,源赖光,源*****,安卓bili服,SSR
25948249,芬恩·麦克库尔,骷*****,ios服,SR
25948250,阿斯托尔福,u*****,安卓bili服,SR
25948251,茨木童子,言*****,ios服,SR
