id,info,rname,sname,star
27610913,赫拉克勒斯,e*****,安卓bili服,SR
27610914,玛丽·安托瓦内特,e*****,安卓bili服,SR
27610915,阿斯托尔福,雕*****,安卓bili服,SR
27610916,卫宫,神*****,安卓bili服,SR
27610917,童谣,5*****,安卓bili服,SR
27610918,阿斯托尔福,消*****,安卓bili服,SR
27610919,玛尔达,X*****,安卓bili服,SR
27610920,玛丽·安托瓦内特,X*****,安卓bili服,SR
27610921,源赖光,秦*****,安卓bili服,SSR
27610922,卡米拉,8*****,ios服,SR
27610923,齐格飞,A*****,安卓bili服,SR
27610924,源赖光,世*****,ios服,SSR
27610925,赫拉克勒斯,h*****,ios服,SR
27610926,南丁格尔,为*****,安卓bili服,SSR
27610927,芬恩·麦克库尔,萌*****,安卓bili服,SR
27610928,童谣,l*****,安卓bili服,SR
27610929,茨木童子,1*****,安卓bili服,SR
27610930,卡米拉,9*****,安卓bili服,SR
27610931,骑士迪昂,k*****,安卓bili服,SR
27610932,伊丽莎白·巴托里,k*****,安卓bili服,SR
27610933,茨木童子,我*****,安卓bili服,SR
27610934,源赖光,童*****,安卓bili服,SSR
27610935,源赖光,2*****,ios服,SSR
27610936,安妮·伯妮＆玛莉·瑞德,弦*****,安卓bili服,SR
27610937,茨木童子,t*****,ios服,SR
27610938,玉藻猫,3*****,安卓bili服,SR
27610939,源赖光,未*****,安卓bili服,SSR
27610940,齐格飞,2*****,ios服,SR
27610941,茨木童子,风*****,ios服,SR
27610942,茨木童子,阿*****,安卓bili服,SR
27610943,俄里翁,雷*****,安卓bili服,SSR
